Campaign,Ad Group,Labels,Keyword,Criterion Type,Max CPC,Max CPM,Max CPV,First page bid,Top of page bid,First position bid,Quality score,Landing page experience,Expected CTR,Ad relevance,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameters,Campaign Status,Ad Group Status,Status,Approval Status,Comment
BioEmblem Non-Brand Products,CoQ10,,best coq10 supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,"""high absorption coq10""",Exact,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,high absorption coq10,Broad,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,"""coq10 for energy""",Exact,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,CoQ10,,coq10 for energy,Broad,,,,,,,,,,,https://bioemblem.com/products/coq10,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,"""b complex""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,b complex,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,"""b complex vitamin""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,b complex vitamin,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,"""vitamin b complex""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,vitamin b complex,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,"""b vitamin supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,b vitamin supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,"""all 8 b vitamins""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,all 8 b vitamins,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,"""b complex for energy""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,b complex for energy,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,"""high absorption b complex""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
BioEmblem Non-Brand Products,B-Complex,,high absorption b complex,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-b-complex,,,,,,,,,
